N° de Bien | Descripcion
PGEB-BM-332 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
PGEB-BM-334 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
PGEB-BM-336 | MONITOR: VIT. NEGRO/ MODELO.TFT20W90PSI LED, BACKLIGHT 19.5 PULGADAS 50-60HZ, 1.5A,0100-240BAC,
109260-1 | MOUSE COMBO BLACK
PGEB-BM-844 | TELEFONO ALAMBRICO MARCA INTELSA MODELO SET211 SERIAL:312170-050397 COLOR BEIGE
PGEB-BM-319 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
PGEB-BM-315 | TELEFONO INALAMBRICO, COLOR VERDE GRISACEO
PGEB-BM-482 | CPU PENTIUM IV 1 .8 GHZ, SOC 478/512 KB, HD DE 40 GB, DIMM 256MB, UNIDAD DE CD 52X LG, FLOPPY 3 1/2, MOD.: S/N, SER: S/N
PGEB-BM-204 | TELEFONO PANASONIC, COLOR NEGRO.  MOD.: KX-TS500LXB, SER.: OKBLD080930
PGEB-BM-83 | CASE, PENTIUM IV, T/C/M, GIGAVYTE, TARJETA MADRE ASROCK CONROE 1333-D667, PROCESADOR INTEL DUAL, CORE E 2140, LGA 775, 1,6 GHZ, DISCO DURO 80 GB SATA, WESTER DIGITAL,UNIDAD DE ESCRITURA DVD, PANASONIC, (WRITENG MASTER), DIMM DE 512 MB DDR2,
PGEB-BM-197 | NEVERA, MARCA LG,COLOR BLANCA, SIN ESCARCHA  MOD. GM-313 SC, SER:004MRGC2607, MEDIDAS: 0,55MTS X0.62MTS X 1.63 DE ALTO
PGEB-BM-65 | TELEFONO LG ANALOGICO GS-625 S/N: 20708191
PGEB-BM-890 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTEL CELERON 2.53GHZ/ 256KH,TARJETA MADRE ASROCK P4I45GV,DISCO DURO 40GB WESTERN DIGITAL 720,MEMORIA DDR 2 GB BUS 400,CD ROM 56X BENQ BEIGE,FLOPPY NEC 3.5 1.44MB,CASE NEGRO
PGEB-BM-954 | SILLA SECRETARIAL EN TELA DOS BRAZOS, BASE GIRATORIA DE 5 RUEDAS  COLOR NEGRO
159031 | MOUSE USB GENIOS
PGEB-BM-210 | UPS OFFICE PLUS 500 VA INTEGRA, REGULADOR/VOLT, COLOR NEGRO, MOD. 82121012300646	
PGEB-BM-891 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTEL DUAL CORE 1.8 GHZ,TARJETA MADRE ASROCK 945G/DDRII, DISCO DURO 80GB SAMSUMG 7200(SATA), MEMORIA DDR 512MB/667, CD ROM-CDRW+DVDROM-DVDRW LITEON 18X, FLOPPY 3 1/2 NEGRO,CASE COMBO OMEGA  NEGRO CON PLATA. 
PGEB-BM-154 | UPS EMERALD 500 VA, COLOR GRIS, SERIAL 90608PW50000763, MOD: VWO-500	
PGEB-BM-921 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTEL DUAL CORE 12,2 GHZ E2200 SERIAL 3A0554,TARJETA MADRE AGROCK 1333 MHZ S775 DDR667  SERIAL: 84MOX1189744,DISCO DURO MAXTOR DE 160 GB  SATA SERIAL: 6RAAH07C,MEMORIA MARKVISION 1 GB DDR2 667 PC25300 SERIAL:CGB1054,CDRW LG MULTI. DVD 20X SATA SERIAL: 101401,CASE COMBO MEGA POWER  COLOR NEGRO.
PGEB-BM-257 | UPS  MODELO PWX-650,MARCA EMERALD CAPACIDAD 650VA COD. 12944012287	
PGEB-BM-258 | UPS  MODELO PWX-650,MARCA EMERALD CAPACIDAD 650VA COD. 12944012288
PGEB-BM-137 | UPS CDPB AVR 1006 700 VA
PGEB-BM-187 | UPS 600 VOLTIOS, MARCA MEGAPOWER
PGEB-BM-259 | UPS MODELO 865/500 VA NO 411865VEO1 MARCA OMEGA 6 SALIDA TAMANO 330X102X152 COD.(21) 115301002215
BU-170 | PERFORADORA
PGEB-BM-111 | VEHICULO MOTO MODELO HORSE KW-150 MARCA KEEWAY COLOR GRIS ANO 2009 TIPO PASEO SERIAL DE CHASIS NO TSYPEK5019B498117 SERIAL DE MOTOR NO KW162FMJ8647282 PLACA AA8V34M
PGEB-BM-411 | MOTO MARGA YAMAHA, MODELO.: CY 80, TIPO: PASEO, SERIAL MOTOR: 95263377, CARROCERIA: 95258949, COLOR: ROJO, CILIND. (1 ), PUESTOS DOS (2), MOD.: CY 80, S
PGEB-BM-544 | CODIGO DE PROCEDIMIENTO CIVIL TOMO V AUTOR: RICARDO HENRRIQUE LA ROCHE CARACAS 1998	
PGEB-BM-837 | AIRE ACONDICIONADO, MARCA LG 18000 BTU SERIAL: 004KA00618 COLOR BEIGE (CAMBIADO SEGUN MISION LUCIERNAGA POR AA HAIER DE 18000 BTU SERIAL AD0H06E0L009A5K0406)	
PGEB-BM-86 | AIRE ACONDICIONADO, MARCA ADMIRAL, TIPO SPLIT, CR ASA 18CR 18000 BTU, SERIAL: M: 0971, C: 0797 (GARANTIA: 1713340) 1 ANO
PGEB-BM-254 | 1XAIRE  SPLIT PREMIUM 12.000 BTU 220V PAC1303
PGEB-BM-281 | A/A 24.000 BTU DE VENTANA MARCA LG, C/CONTROL 220V MOD. W243CM, SERIAL 206TAPE00128
PGEB-BM-849 | IMPRESORA MARCA GSX-190 CITIZEN, S/N AKA0015651 MODELO AK20-M01 COLOR GRIS
PGEB-BM-979 | IMPRESORA MARCA EPSON MODELO LX-300+II SERIAL: *G8DY013146* COLOR GRIS
PGEB-BM-894 | IMPRESORA EPSON LX 300+II MODELO:P170B, SERIAL: *G8DY140251* COLOR GRIS
PGEB-BM-1015 | IMPRESORA MULTIFUNCIONAL MARCA HP MODELO DESJKTF4480 SERIAL:CN9BCC1116 COLOR NEGRO  **
PGEB-BM-877 | IMPRESORA MARCA HP DESKJET 840 C SERIAL NO C64114A COLOR BEIGE
PGEB-BM-393 | IMPRESORA DE INJECCION DE TINTA, MARCA OLIVETTI, MOD.: JP-450, SER: 01293D/0593898
PGEB-BM-946 |  TV MONITOR MARCA LCD PARKER 26" MODELO TL2656 SERIAL: TL256GA100474 COLOR NEGRO	
PGEB-BM-345 | ESCRITORIO EN FORMICA PALO DE ROSA, CON 1 GAVETA DE 1,0 X 0,65 X 0,60 S/CERRADURA, MOD.: S/N, SER.: S/N
PGEB-BM-972 | ESTACION DE TRABAJO EN FORMICA COLOR PALO ROSA
PGEB-BM-352 | ESCRITORIO EN FORMICA PALO DE ROSA DE 3 GAVETAS, CON CERRADURA DE 1 ,40 X 0,80 X 0,73, MOD.: S/N, SER.: S/N
PGEB-BM-350 | ESCRITORIO EN FORMICA PALO DE ROSA, 2 GAVETAS CON CERRADURA DE 1 ,20 X 0,73 X 0,70, MOD.: S/N, SER: S/N	
PGEB-BM-968 | ESCRITORIO SECRETARIAL DOS GAVETAS DE 1,20 MT LONGUITUD COLOR PALO DE ROSA
PGEB-BM-1081 | ESCRITORIO DOS GAVETAS PALO DE ROSA	
PGEB-BM-868 | ESCRITORIO DE METAL COLOR BEIGE, FORMICA COLOR PALO DE ROSA, 3 GAVETAS (25,5CM ALTO X 95CM ANCHO X 75CM PROFUNDIDAD)
PGEB-BM-932 | ESCRITORIO DE FORMICA, DOS GAVETAS BASE DE METAL COLOR PALO DE ROSA
PGEB-BM-1075 | ESCRITORIO EN FORMICA PALO DE ROSA, 2 GAVETAS CON CERRADURA DE 1 ,20 X 0,73 X 0,70, MOD.: S/N, SER: S/N
161447 | MOUSE GENIUS
159046-2 | MOUSE COMBO NEGRO
159033 | MOUSE USB GENIOS	
PGEB-BM-253 | 1XAIRE LG 12 BTU 220V W-122CA
BU-162696 | MOUSE
PGEB-BM-269 | PC CARDENALITO AMD SEMPRON; TM ASROCK/ RAM 2GB/ DD 500 GB; DVD, FUENTE SIN GTA; S/N 0040
PGEB-BM-121 | ESCRITORIO EJECUTIVO DE 1,40 X 0,60 C/ALA DE 1,20 X 0,50 DE TRES GAVETAS
PGEB-BM-123 | SILLA SEMI EJECUTIVA CON BRAZO COLOR NEGRO
PGEB-BM-234 | BIBLIOTECA MODELO CANAIMA
PGEB-BM-270 | MONITOR LCD 19" BENQ S/N: ETJAB02735019
PGEB-BM-240 | PROYECTOR EPSON S12
104543 | CORNETAS MARCA  SIRAGON DE 180W	
18865 | MAQUINA DE ESCRIBIR MANUAL, MARCA UNIVERSAL, MOD.: 275, SER.: 349191439	
22038 | DESTRUCTOR DE PAPEL, MARCA GBC, SHERDMANTER COLOR BEIGE.-, MOD.: 91S-SHRE, SER: HC-13930	
27010 | GUILLOTINA COLOR GRIS Y NEGRO, MARCA DAHLE MODELO: 012 (MEDIANA), MOD.: S/N, SER: S/N	
PGEB-BM-528 | IMPRESORA MARCA HEWLT PACKARD MOD. 840C. SERIAL 288PMK01M1WOHP
PGEB-BM-474 | TELEFONO SENCILLO PANASONIC, COLOR BLANCO, MOD.: KX-TS3LX-W, SER.: 2DCAB135467
BU-172 | PORTA CLIPS
PGEB-BM-12 | SUMADORA ELECTRICA, MARCA CANON, 14 DIGITOS, SERIAL NO 20030520
PGEB-BM-103 | REGULADOR DE VOLTAJE CDP AVR 1006 1000A
PGEB-BM-21 | REGULADOR DE VOLTAJE , MARCA OMEGA, PCG 1000 P/INTERNET	
PGEB-BM-85 | AIRE ACONDICIONADO, MARCA ADMIRAL, TIPO SPLIT, CR ASA 18CR 18000 BTU, SERIAL: M: 0979, C: 0769 (GARANTIA: 1713342) 1 ANO	
PGEB-BM-124 | SILLA SEMI EJECUTIVA CON BRAZO COLOR NEGRO
PGEB-BM-239 | GPS GARMIN SOFT FM+BLOTO 2 GB
PGEB-BM-11 | REGULADOR DE VOLTAJE OMEGA 100 VA., MOD.: S/N, SER: S/N	
PGEB-BM-9 | FOTOCOPIADORA MARCA XEROX, MODELO WORK CENTRE PE-120 SERIAL: 434339 VHR
PGEB-BM-360 | ESCRITORIO EN FORMICA PALO DE ROSA, 2 GAVETAS CON CERRADURA DE 1,20 X 0,73 X 0,70, MOD.: S/N, SER.: S/N	
PGEB-BM-115 | MONITOR LCD 19" AOC COLOR NEGRO MODELO 919 SW	
PGEB-BM-17 | PIZARRA PORCELANIZADA TIPO ROTAFOLIO, MOD.: S/N, SER: S/N	
PGEB-BM-250 | MOTO, MARCA:SKYGO, MOD.SG150-13, PLACAS: AD7Y94M, ANO 2012, COLOR:ROJO, SERIAL CARROC: 818AM2CJ6CM203013, SERIAL MOTOR:162FMJC5054438.
PGEB-BM-479 | ARCHIVO 4 GAVETAS, METALICO COLOR NEGRO, MOD.: S/N, SER: S/N	
PGEB-BM-362 | ARCHIVO METALICOS, COLOR MARRON, DE 4 GAVETAS CON CERRADURA, MOD.: S/N, SER.: S/N
	
PGEB-BM-363 | ARCHIVO METALICOS COLOR MARRON, DE 4 GAVETAS CON CERRADURA, MOD.: S/N, SER: S/N	
